"Homozygous - Lethal","337"
"Homozygous - Subviable","162"
"Homozygous - Viable","953"

"Gene","Colony","Category"
"Frrs1","MELS","Homozygous - Subviable"
"Gpx1","BL3596","Homozygous - Viable"
"Ramp1","H-RAMP1-B11-TM1B","Homozygous - Viable"
"Tpgs2","JR21752","Homozygous - Viable"
"Elmo1","MEFU","Homozygous - Viable"
"Kifap3","MCKW","Homozygous - Lethal"
"Pced1a","MUCD","Homozygous - Viable"
"Htra4","BL1512","Homozygous - Viable"
"Nudt19","ET8254","Homozygous - Viable"
"Gm13547","MDHP","Homozygous - Viable"
"Rest","HMGU-EPD0156_1_D10-1-1","Homozygous - Lethal"
"Cpa2","GSF-HEPD0509_3_H12-1-1","Homozygous - Viable"
"Lpo","GSF-EPD0215_3_D03-1-1","Homozygous - Viable"
"Ndfip2","GSF-HEPD0550_6_G09-1-1","Homozygous - Viable"
"Arhgef38","MEWJ","Homozygous - Viable"
"Trem1","MFZX","Homozygous - Viable"
"Pdzd3","METD","Homozygous - Viable"
"Zfp260","TCPA0567Cre","Homozygous - Viable"
"Slc5a7","MFED","Homozygous - Lethal"
"Mthfsl","HMGU-HEPD0550_2_B06-1-1","Homozygous - Viable"
"Tram2","MFKX","Homozygous - Subviable"
"Xxylt1","MFVL","Homozygous - Viable"
"Med11","JR22100","Homozygous - Lethal"
"","UCD-EPD0098_3_H05-2-1","Homozygous - Subviable"
"Slc39a5","BL1656","Homozygous - Viable"
"Ggnbp2","TCPA0058Cre","Homozygous - Subviable"
"Nab2","IP00004904a","Homozygous - Viable"
"Ncs1","IP00005030a","Homozygous - Subviable"
"Ube2e2","H-Ube2e2-A11-TM1B","Homozygous - Viable"
"C1qa","JR22307","Homozygous - Viable"
"Lsm1","HMGU-HEPD0702_3_G05-1-1","Homozygous - Subviable"
"Fam216a","HMGU-HEPD0675_7_F06-1-1","Homozygous - Viable"
"Cast","JR23393","Homozygous - Viable"
"Selk","MEEH","Homozygous - Viable"
"Gm13125","MUDJ","Homozygous - Viable"
"Rabl2","BL3208","Homozygous - Viable"
"Baiap2l2","IP00004537a","Homozygous - Viable"
"Gm12258","IP00004866a","Homozygous - Viable"
"Fam63a","H-FAM63a-H01-TM1B","Homozygous - Viable"
"Ccnb1","H-CCNB1-E11-TM1B","Homozygous - Lethal"
"Entpd8","BL3369","Homozygous - Viable"
"1110037F02Rik","MEYX","Homozygous - Lethal"
"Defb22","MFXV","Homozygous - Viable"
"Mrps25","JR18635","Homozygous - Lethal"
"Eomes","H-EOMES-G05-TM1B","Homozygous - Lethal"
"Rnf10","ET6713_TCP","Homozygous - Subviable"
"Psen1","JR24025","Homozygous - Lethal"
"Tprn","JR18606","Homozygous - Viable"
"Ap3s2","H-Ap3s2-B08-TM1B","Homozygous - Viable"
"Pex26","ET7871","Homozygous - Lethal"
"Phtf2","MDTN","Homozygous - Viable"
"C1qtnf5","JR18562","Homozygous - Viable"
"Nhlh2","TCPA0052Cre","Homozygous - Viable"
"Slc25a35","JR23414","Homozygous - Viable"
"Pla2g2e","HMGU-EPD0378_2_E10-1-1","Homozygous - Viable"
"Prame","MEJQ","Homozygous - Viable"
"B9d2","MCZV","Homozygous - Lethal"
"Nxn","H-NXN-B11-TM1B","Homozygous - Lethal"
"Atrip","JR22305","Homozygous - Lethal"
"Anxa9","MUBO","Homozygous - Viable"
"Sh3tc2","JR21142","Homozygous - Viable"
"Gfpt1","H-GFPT1-H11-TM1B","Homozygous - Lethal"
"Sdhb","H4339-HEPD0746_5_A12-1","Homozygous - Lethal"
"Crispld2","BL3733","Homozygous - Lethal"
"Crlf3","MLFC","Homozygous - Viable"
"Ctso","H-CTSO-G04-TM1B","Homozygous - Viable"
"Scn4a","H-Scn4a-H11-TM1B","Homozygous - Lethal"
"Dpp9","Monterotondo-HEPD0534_4_B11-1-1","Homozygous - Lethal"
"Ap3s1","H4348-HEPD0632_3_G10-1","Homozygous - Viable"
"Aqp6","HMGU-HEPD0753_1_H05-1-1","Homozygous - Viable"
"Tatdn3","MUAS","Homozygous - Viable"
"Coro1c","MDWY","Homozygous - Viable"
"Mrm1","MFRT","Homozygous - Subviable"
"Acvr1","BL3519","Homozygous - Lethal"
"Cnot6","MCQP","Homozygous - Subviable"
"Lgals3","H-LGALS3-A09-TM1B","Homozygous - Viable"
"Sdha","JR23136","Homozygous - Lethal"
"Ermp1","JR23489","Homozygous - Viable"
"Il10rb","MDNU","Homozygous - Viable"
"Fpr3","IP00005513a","Homozygous - Viable"
"Ercc3","TCPA0685Cre","Homozygous - Lethal"
"Aktip","TCPM0215Cre","Homozygous - Viable"
"Coq4","MCZX","Homozygous - Lethal"
"Rint1","JR21141","Homozygous - Lethal"
"Ovgp1","H-OVGP1-H07-TM1B","Homozygous - Viable"
"Zfp207","H-ZFP207-E04-TM1B","Homozygous - Lethal"
"Prkab1","MUCJ","Homozygous - Viable"
"Chd1","TCPA0039Cre","Homozygous - Lethal"
"Plk1","TCPA0148Cre","Homozygous - Lethal"
"Ctsd","IP00005224a","Homozygous - Subviable"
"Rab19","IP00005134a","Homozygous - Viable"
"2610318N02Rik","MUBP","Homozygous - Viable"
"Leprot","MUAX","Homozygous - Viable"
"Acbd3","H4344-HEPD0637_3_G08-1","Homozygous - Lethal"
"Fam53b","Monterotondo-HEPD0667_7_D08-1-1","Homozygous - Viable"
"Palb2","JR22095","Homozygous - Lethal"
"Cacna2d3","JR22418","Homozygous - Viable"
"H2-Eb1","MFEH","Homozygous - Viable"
"Ralb","MDTQ","Homozygous - Viable"
"Hsf4","JR21902","Homozygous - Viable"
"Siva1","H4642-HEPD0636_6_G01-1","Homozygous - Viable"
"Ccdc33","BL2479","Homozygous - Viable"
"Ap2a2","MUAC","Homozygous - Viable"
"Rtbdn","MCBN","Homozygous - Viable"
"Myoz1","GSF-HEPD0534_5_A02-1-1","Homozygous - Viable"
"Cdc20","JR18590","Homozygous - Lethal"
"Ska2","JR23511","Homozygous - Lethal"
"BC055324","H-BC055324-A04-TM1B","Homozygous - Lethal"
"Kif20a","HMGU-HEPD0652_8_C02-2-1","Homozygous - Lethal"
"Pgs1","HMGU-HEPD0612_1_H03-1-1","Homozygous - Lethal"
"Dlec1","GSF-EPD0183_3_F08-1-1","Homozygous - Viable"
"Gpr33","H-GPR33-A05-TM1B","Homozygous - Viable"
"Lpin2","TCPA0012Cre","Homozygous - Viable"
"Mthfd2l","H-MTHFD2L-C08-TM1B","Homozygous - Viable"
"Ctnnbip1","H-CTNNBIP1-G10-Tm1B","Homozygous - Subviable"
"Mybphl","MEHZ","Homozygous - Subviable"
"Hsf2bp","Monterotondo-HEPD0520_6_B03-1-1","Homozygous - Viable"
"Spns2","MCSR","Homozygous - Viable"
"Khdrbs3","HMGU-HEPD0688_8_C05-1-1","Homozygous - Viable"
"Nxn","GSF-EPD0045_1_B11-3-1","Homozygous - Lethal"
"Exosc8","JR18622","Homozygous - Lethal"
"3110035E14Rik","MUAH","Homozygous - Viable"
"Pak1","H-PAK1-H11-TM1B","Homozygous - Viable"
"Pnck","BL2269","Homozygous - Viable"
"Cox4i1","UCD-13284A-B10-1-1","Homozygous - Lethal"
"Gbp2","HMGU-EPD0234_4_G07-1-1","Homozygous - Viable"
"Pls3","MEYY","Homozygous - Viable"
"Casp12","MECG","Homozygous - Viable"
"Fanci","MFGY","Homozygous - Subviable"
"Kdm4d","MDGG","Homozygous - Viable"
"Pdk3","MFKA","Homozygous - Viable"
"Unc45a","HMGU-HEPD0073_3_D09-1-1","Homozygous - Lethal"
"Itga2","H-ITGA2-G06-TM1B","Homozygous - Viable"
"Fam161a","JR18705","Homozygous - Viable"
"Chic2","H-CHIC2-B08-TM1B","Homozygous - Subviable"
"Rab39","JR23801","Homozygous - Viable"
"Stk16","JR18611","Homozygous - Viable"
"Parp16","JR21613","Homozygous - Viable"
"Mocs2","HMGU-EPD0560_5_C09-1-1","Homozygous - Lethal"
"Dbn1","JR21507","Homozygous - Subviable"
"Frs2","H-Frs2-B06-TM1B-3","Homozygous - Lethal"
"Ap4e1","RIKEN_EPD0025_5_A08","Homozygous - Viable"
"Egr1","TCPA0686Cre","Homozygous - Subviable"
"Fam73a","HMGU-EPD0598_3_H10-1-1","Homozygous - Viable"
"Pla2g10","GSF-HEPD0539_1_A05-1-1","Homozygous - Viable"
"Btg2","JR21751","Homozygous - Viable"
"Glycam1","UCD-10916A-F3-1-1","Homozygous - Viable"
"Epas1","H-EPAS1-B11-TM1B","Homozygous - Lethal"
"Tmem151b","JR23060","Homozygous - Viable"
"Lypd6b","BL2359","Homozygous - Viable"
"Wnt5b","TCPM0198Cre","Homozygous - Viable"
"Yars","TCPA0141Cre","Homozygous - Lethal"
"Ctsk","TCPM0615Cre","Homozygous - Viable"
"1700003F12Rik","UCD-10243A-E8-2-1","Homozygous - Subviable"
"Gng13","UCD-13525B-A10-1-1","Homozygous - Subviable"
"Rbm47","MFRM","Homozygous - Viable"
"Xndc1","MDUH","Homozygous - Viable"
"2510003E04Rik","MGCY","Homozygous - Lethal"
"Dnajb7","JR18580","Homozygous - Viable"
"Gart","TCPA0115Cre","Homozygous - Lethal"
"Timm22","JR24406","Homozygous - Lethal"
"Gm684","TCPA0676Cre","Homozygous - Viable"
"Uhrf2","TCPA0706Cre","Homozygous - Subviable"
"D630045J12Rik","TCPM0181Cre","Homozygous - Viable"
"Usp22","H-USP22-D11-TM1B","Homozygous - Lethal"
"Lyst","TCPA0159Cre","Homozygous - Viable"
"Scrib","TCPA0598Cre","Homozygous - Lethal"
"Nup85","MFSY","Homozygous - Lethal"
"C8a","TCPM0708Cre","Homozygous - Viable"
"Slc9b2","BL2067","Homozygous - Viable"
"Fads1","BL3530","Homozygous - Viable"
"Zfp119a","HMGU-HEPD0637_2_H07-1-1","Homozygous - Viable"
"Cinp","JR18631","Homozygous - Lethal"
"Pcsk4","JR18355","Homozygous - Viable"
